cluster_id,risk_score,risk_level,false_alarm_indicator,classification_label,alert_priority,recommended_action,nearest_station_name,station_distance_km,station_available,alert_rationale
328,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
329,9.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
330,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
331,65.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (65.0) combined with high evidence reliability (Low False-Alarm Concern).
332,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kakatpur Fire Station,48.11,True,Low Risk Index representing routine thermal baseline.
333,30.6,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
334,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,"Fire Station, Rajiv Gandhi Education City",10.95,True,Low Risk Index representing routine thermal baseline.
335,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
336,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
337,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
338,26.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
339,71.0,HIGH,LOW,Agricultural-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (71.0) combined with high evidence reliability (Low False-Alarm Concern).
340,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
341,42.0,MEDIUM,LOW,Forest/Natural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Forest/Natural-context thermal event). Operational review recommended.
342,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
343,22.9,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
344,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
345,93.0,HIGH,LOW,Unknown / Insufficient Evidence,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Jaynagar Fire Station (34.0 km away).,Jaynagar Fire Station,33.97,True,High Risk Index (93.0) combined with high evidence reliability (Low False-Alarm Concern).
346,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),30.56,True,Low Risk Index representing routine thermal baseline.
347,50.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Asansol Fire Station (18.4 km away).,Asansol Fire Station,18.35,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
348,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),46.26,True,Low Risk Index representing routine thermal baseline.
349,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),47.04,True,Low Risk Index representing routine thermal baseline.
350,27.0,LOW,LOW,Forest/Natural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
351,85.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (85.0) combined with high evidence reliability (Low False-Alarm Concern).
352,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Asansol Fire Brigade,49.52,True,Low Risk Index representing routine thermal baseline.
353,58.0,MEDIUM,LOW,Forest/Natural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Forest/Natural-context thermal event). Operational review recommended.
354,65.0,HIGH,LOW,Unknown / Insufficient Evidence,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (65.0) combined with high evidence reliability (Low False-Alarm Concern).
355,42.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
356,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kangeyam Fire Station,23.56,True,Low Risk Index representing routine thermal baseline.
357,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
358,65.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Ballari Fire Station (20.4 km away).,Ballari Fire Station,20.44,True,High Risk Index (65.0) combined with high evidence reliability (Low False-Alarm Concern).
359,17.0,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),27.14,True,Low Risk Index representing routine thermal baseline.
360,35.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
361,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
362,50.0,MEDIUM,LOW,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
363,41.0,MEDIUM,LOW,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (6.3 km away).,Fire station (unnamed),6.29,True,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
364,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Asansol Fire Brigade,6.01,True,Low Risk Index representing routine thermal baseline.
365,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Asansol Fire Brigade,4.7,True,Low Risk Index representing routine thermal baseline.
366,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
367,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kondhwa Fire Station,7.47,True,Low Risk Index representing routine thermal baseline.
368,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),6.91,True,Low Risk Index representing routine thermal baseline.
369,34.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
370,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),34.04,True,Low Risk Index representing routine thermal baseline.
371,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
372,41.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Madurai Airport Fire Station (19.9 km away).,Madurai Airport Fire Station,19.9,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
373,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Ramanagara Fire Station,21.66,True,Low Risk Index representing routine thermal baseline.
374,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Old Fire House,4.68,True,Low Risk Index representing routine thermal baseline.
375,22.9,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),19.35,True,Low Risk Index representing routine thermal baseline.
376,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Islampur agnishaman,45.6,True,Low Risk Index representing routine thermal baseline.
377,33.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Jonai Fire Service Station (29.5 km away).,Jonai Fire Service Station,29.48,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
378,39.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Jonai Fire Service Station (30.9 km away).,Jonai Fire Service Station,30.9,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
379,63.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Jonai Fire Service Station (30.7 km away).,Jonai Fire Service Station,30.69,True,High Risk Index (63.0) combined with high evidence reliability (Low False-Alarm Concern).
380,20.4,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Jonai Fire Service Station,40.47,True,Low Risk Index representing routine thermal baseline.
381,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Airport Fire Station,12.59,True,Low Risk Index representing routine thermal baseline.
382,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,14.4,True,Low Risk Index representing routine thermal baseline.
383,27.2,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire And Rescue Service Station,16.35,True,Low Risk Index representing routine thermal baseline.
384,13.0,LOW,HIGH,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Surandai Fire Station,32.22,True,Low Risk Index representing routine thermal baseline.
385,32.3,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire And Rescue Service Station (31.2 km away).,Fire And Rescue Service Station,31.23,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
386,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
387,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),10.43,True,Low Risk Index representing routine thermal baseline.
388,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
389,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
390,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),13.74,True,Low Risk Index representing routine thermal baseline.
391,27.2,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),46.66,True,Low Risk Index representing routine thermal baseline.
392,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),44.5,True,Low Risk Index representing routine thermal baseline.
393,38.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Virudhunagar Fire Station (13.6 km away).,Virudhunagar Fire Station,13.58,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
394,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
395,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,21.85,True,Low Risk Index representing routine thermal baseline.
396,38.2,MEDIUM,MEDIUM,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Kallakurichi Fire Station (35.9 km away).,Kallakurichi Fire Station,35.91,True,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
397,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
398,57.0,MEDIUM,LOW,Unknown / Insufficient Evidence,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Unknown / Insufficient Evidence). Operational review recommended.
399,32.0,MEDIUM,LOW,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (21.8 km away).,Fire station (unnamed),21.75,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
400,19.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Virudhunagar Fire Station,15.91,True,Low Risk Index representing routine thermal baseline.
401,22.1,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),34.27,True,Low Risk Index representing routine thermal baseline.
402,19.0,LOW,HIGH,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
403,13.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),10.72,True,Low Risk Index representing routine thermal baseline.
404,39.1,MEDIUM,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (13.5 km away).,Fire station (unnamed),13.51,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
405,64.6,HIGH,MEDIUM,Agricultural-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Thiruvallur fire station (33.4 km away).,Thiruvallur fire station,33.41,True,Moderate thermal risk context (Agricultural-context thermal event). Operational review recommended.
406,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),16.37,True,Low Risk Index representing routine thermal baseline.
407,22.1,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
408,16.0,LOW,HIGH,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
409,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
410,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,তারকেশ্বর অগ্নিনির্বাপন পরিষেবা কেন্দ্র,19.29,True,Low Risk Index representing routine thermal baseline.
411,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
412,42.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Fire station (unnamed) (9.1 km away).,Fire station (unnamed),9.11,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
413,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Asansol Fire Brigade,15.47,True,Low Risk Index representing routine thermal baseline.
414,77.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Jharkhand Fire Services HQ (35.7 km away).,Jharkhand Fire Services HQ,35.67,True,High Risk Index (77.0) combined with high evidence reliability (Low False-Alarm Concern).
415,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),40.31,True,Low Risk Index representing routine thermal baseline.
416,27.0,LOW,LOW,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),45.74,True,Low Risk Index representing routine thermal baseline.
417,42.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
418,17.8,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),6.74,True,Low Risk Index representing routine thermal baseline.
419,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
420,77.0,HIGH,LOW,Industrial-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,High Risk Index (77.0) combined with high evidence reliability (Low False-Alarm Concern).
421,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
422,15.3,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
423,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
424,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
425,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),26.73,True,Low Risk Index representing routine thermal baseline.
426,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),19.29,True,Low Risk Index representing routine thermal baseline.
427,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),21.04,True,Low Risk Index representing routine thermal baseline.
428,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Ballari Fire Station,17.88,True,Low Risk Index representing routine thermal baseline.
429,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,BMM Fire station,22.99,True,Low Risk Index representing routine thermal baseline.
430,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Islampur agnishaman,47.49,True,Low Risk Index representing routine thermal baseline.
431,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
432,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
433,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Airport Fire Station (36.4 km away).,Airport Fire Station,36.4,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
434,17.8,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Airport Fire Station,18.59,True,Low Risk Index representing routine thermal baseline.
435,22.9,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Airport Fire Station,20.7,True,Low Risk Index representing routine thermal baseline.
436,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,23.92,True,Low Risk Index representing routine thermal baseline.
437,22.9,LOW,MEDIUM,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,19.72,True,Low Risk Index representing routine thermal baseline.
438,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,21.84,True,Low Risk Index representing routine thermal baseline.
439,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Airport Fire Station,21.97,True,Low Risk Index representing routine thermal baseline.
440,42.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Airport Fire Station (23.7 km away).,Airport Fire Station,23.66,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
441,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
442,35.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
443,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
444,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
445,56.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation.; no verified fire station identified within the search radius -- nearest district fire service should be contacted,No fire station within 50 km,inf,False,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
446,22.9,LOW,MEDIUM,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
447,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
448,9.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
449,27.0,LOW,LOW,Agricultural-context thermal event,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
450,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
451,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),33.06,True,Low Risk Index representing routine thermal baseline.
452,27.0,LOW,LOW,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),29.94,True,Low Risk Index representing routine thermal baseline.
453,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,No fire station within 50 km,inf,False,Low Risk Index representing routine thermal baseline.
454,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Virudhunagar Fire Station,2.93,True,Low Risk Index representing routine thermal baseline.
455,84.0,HIGH,LOW,Forest/Natural-context thermal event,HIGH PRIORITY ALERT,Dispatch priority ground verification unit from the nearest operational fire service. Closest verified fire station: Fire station (unnamed) (22.2 km away).,Fire station (unnamed),22.2,True,High Risk Index (84.0) combined with high evidence reliability (Low False-Alarm Concern).
456,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),25.82,True,Low Risk Index representing routine thermal baseline.
457,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,"Fire and Rescue Station, Adimali",47.74,True,Low Risk Index representing routine thermal baseline.
458,35.0,MEDIUM,LOW,Industrial-context thermal event,MONITOR / REVIEW,Monitor thermal activity for escalation. Closest verified fire station: Mettur FIre and Rescue Dept. (10.2 km away).,Mettur FIre and Rescue Dept.,10.15,True,Moderate thermal risk context (Industrial-context thermal event). Operational review recommended.
459,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Kallakurichi Fire Station,41.51,True,Low Risk Index representing routine thermal baseline.
460,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),10.81,True,Low Risk Index representing routine thermal baseline.
461,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Sunkadakatte Fire Station,10.37,True,Low Risk Index representing routine thermal baseline.
462,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Mulbagal Fire Station,17.04,True,Low Risk Index representing routine thermal baseline.
463,22.9,LOW,MEDIUM,Industrial-context thermal event,NO ALERT,Routine baseline monitoring.,NCTPS Fire Station,29.07,True,Low Risk Index representing routine thermal baseline.
464,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,CMC fire station,12.74,True,Low Risk Index representing routine thermal baseline.
465,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),6.68,True,Low Risk Index representing routine thermal baseline.
466,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire Brigade Station Safidon,19.91,True,Low Risk Index representing routine thermal baseline.
467,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire safety department,29.42,True,Low Risk Index representing routine thermal baseline.
468,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,CMC fire station,18.51,True,Low Risk Index representing routine thermal baseline.
469,6.0,LOW,HIGH,Unknown / Insufficient Evidence,NO ALERT,Routine baseline monitoring.,Fire station (unnamed),13.62,True,Low Risk Index representing routine thermal baseline.
