cluster_id,classification_label,classification_score,classification_rationale,active_days,persistence_category,max_bright_ti4,bt_diff_max,max_frp,movement_status,total_movement_distance_km,osm_facility_type,osm_facility_name,osm_distance_km,osm_query_status,land_cover_class,satellite_image_available,predicted_landcover_class,prediction_confidence,observation_status
514,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=15.6 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,353.11,56.34,15.58,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,HerbaceousVegetation,0.9983,Satellite CNN prediction: HerbaceousVegetation (confidence: 1.00)
515,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=9.0 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,332.53,37.35,9.04,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.9964,Satellite CNN prediction: SeaLake (confidence: 1.00)
516,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,331.4,41.51,1.76,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 45.4%, threshold: 30.0%)"
517,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=2)
- moderate thermal power typical of crop burning (max_frp=5.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",2,short_lived_repeated,338.08,34.01,5.11,MOVING,0.777,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.2747,Satellite CNN prediction: SeaLake (confidence: 0.27)
518,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=6.3 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,340.37,34.55,6.32,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.988,Satellite CNN prediction: SeaLake (confidence: 0.99)
519,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=6.8 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,342.06,35.11,6.79,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.4311,Satellite CNN prediction: SeaLake (confidence: 0.43)
520,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,347.39,42.99,3.17,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 47.8%, threshold: 30.0%)"
521,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,335.67,34.74,3.08,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,PermanentCrop,0.4839,Satellite CNN prediction: PermanentCrop (confidence: 0.48)
522,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=10.4 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,338.78,35.08,10.42,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.9971,Satellite CNN prediction: SeaLake (confidence: 1.00)
523,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=12.6 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,341.53,33.29,12.57,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 47.8%, threshold: 30.0%)"
524,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=8.9 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,344.8,40.26,8.88,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 47.8%, threshold: 30.0%)"
525,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,333.08,29.72,2.23,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.936,Satellite CNN prediction: SeaLake (confidence: 0.94)
526,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=11.7 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,341.86,34.55,11.65,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.9859,Satellite CNN prediction: SeaLake (confidence: 0.99)
527,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=23.9 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,347.17,46.3,23.88,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 47.8%, threshold: 30.0%)"
528,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=37.5 K)
- industrial facility detected nearby (plant at 0.38 km)
- land-cover context is UNKNOWN",1,isolated,337.78,37.46,4.88,INSUFFICIENT_DATA,0.0,plant,none,0.381,found,UNKNOWN,True,SeaLake,0.9982,Satellite CNN prediction: SeaLake (confidence: 1.00)
529,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=6.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,339.66,36.55,6.1,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 38.1%, threshold: 30.0%)"
530,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,331.1,30.97,3.81,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.7517,Satellite CNN prediction: SeaLake (confidence: 0.75)
531,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,331.26,34.0,1.3,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.6549,Satellite CNN prediction: SeaLake (confidence: 0.65)
532,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.5 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,335.42,32.07,5.48,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.7682,Satellite CNN prediction: SeaLake (confidence: 0.77)
533,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=9.3 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,339.84,35.64,9.31,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.7149,Satellite CNN prediction: SeaLake (confidence: 0.71)
534,Agricultural-context thermal event,0.4,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- satellite CNN visual context is Pasture (model confidence=0.87)
- land-cover context is UNKNOWN",1,isolated,335.66,32.82,2.72,INSUFFICIENT_DATA,0.0,industrial,none,0.836,found,UNKNOWN,True,Pasture,0.8693,Satellite CNN prediction: Pasture (confidence: 0.87)
535,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=6.6 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,336.43,34.89,6.6,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 39.6%, threshold: 30.0%)"
536,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,338.33,39.72,4.34,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 72.8%, threshold: 30.0%)"
537,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,336.61,36.38,3.05,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 72.8%, threshold: 30.0%)"
538,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,335.51,36.11,3.75,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 83.1%, threshold: 30.0%)"
539,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,334.7,34.76,2.77,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 55.9%, threshold: 30.0%)"
540,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.41,32.26,3.01,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 83.1%, threshold: 30.0%)"
541,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.6 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,334.51,34.61,5.57,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 100.0%, threshold: 30.0%)"
542,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.22,33.58,2.11,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 71.8%, threshold: 30.0%)"
543,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,335.2,36.11,3.03,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 59.6%, threshold: 30.0%)"
544,Agricultural-context thermal event,0.4,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.1 MW)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,333.13,34.87,5.07,INSUFFICIENT_DATA,0.0,plant,JRD 360 SolarCity,1.515,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 30.0%, threshold: 30.0%)"
545,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.41,31.6,3.1,INSUFFICIENT_DATA,0.0,industrial,none,0.146,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 58.8%, threshold: 30.0%)"
546,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=9.5 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.51,35.36,9.5,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 30.0%, threshold: 30.0%)"
547,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,333.66,31.78,3.87,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 30.0%, threshold: 30.0%)"
548,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=35.4 K)
- industrial facility detected nearby (plant at 0.17 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.24,35.44,4.53,INSUFFICIENT_DATA,0.0,plant,none,0.165,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
549,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.77,31.48,3.89,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 35.1%, threshold: 30.0%)"
550,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=48.5 K)
- industrial facility detected nearby (plant at 1.64 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,349.09,48.45,4.95,INSUFFICIENT_DATA,0.0,plant,none,1.637,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
551,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=46.7 K)
- industrial facility detected nearby (plant at 0.26 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,346.62,46.67,10.0,INSUFFICIENT_DATA,0.0,plant,none,0.261,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 38.4%, threshold: 30.0%)"
552,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.8 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,338.59,36.27,5.8,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
553,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=24.5 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,356.07,52.86,24.5,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
554,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.25,38.95,4.54,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
555,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,355.06,53.9,5.09,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.6%, threshold: 30.0%)"
556,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=9.4 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,338.34,47.75,9.38,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.6%, threshold: 30.0%)"
557,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,331.89,34.61,1.97,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.6%, threshold: 30.0%)"
558,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,336.64,36.36,2.63,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.6%, threshold: 30.0%)"
559,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,332.22,32.48,3.3,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.9705,Satellite CNN prediction: SeaLake (confidence: 0.97)
560,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.54,35.25,4.53,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 69.6%, threshold: 30.0%)"
561,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.4 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,338.18,38.26,5.38,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.1%, threshold: 30.0%)"
562,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- satellite CNN visual context is AnnualCrop (model confidence=0.68)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,336.77,33.78,3.6,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,AnnualCrop,0.6796,Satellite CNN prediction: AnnualCrop (confidence: 0.68)
563,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,333.0,31.3,2.72,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,Forest,0.4151,Satellite CNN prediction: Forest (confidence: 0.42)
564,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=5.7 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN",1,isolated,339.81,41.06,5.68,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,True,SeaLake,0.9976,Satellite CNN prediction: SeaLake (confidence: 1.00)
565,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,337.68,40.4,2.54,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 64.2%, threshold: 30.0%)"
566,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,332.11,31.75,0.97,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.0%, threshold: 30.0%)"
567,Agricultural-context thermal event,0.55,"Agricultural-context thermal event
Supporting evidence:
- short-lived transient activity (active_days=1)
- moderate thermal power typical of crop burning (max_frp=17.1 MW)
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,351.78,46.59,17.07,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.0%, threshold: 30.0%)"
568,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,339.78,37.34,1.88,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.9%, threshold: 30.0%)"
569,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=45.5 K)
- industrial facility detected nearby (plant at 0.63 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,343.31,45.51,7.6,INSUFFICIENT_DATA,0.0,plant,none,0.629,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.9%, threshold: 30.0%)"
570,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.25,37.23,3.6,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 61.6%, threshold: 30.0%)"
571,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,334.72,34.25,1.71,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.0%, threshold: 30.0%)"
572,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,343.53,43.58,4.66,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 97.0%, threshold: 30.0%)"
573,Industrial-context thermal event,0.45,"Industrial-context thermal event
Supporting evidence:
- high spectral brightness temperature contrast (bt_diff=36.7 K)
- industrial facility detected nearby (plant at 1.31 km)
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,338.1,36.73,3.0,INSUFFICIENT_DATA,0.0,plant,none,1.306,found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 84.9%, threshold: 30.0%)"
574,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,336.88,37.77,4.29,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 73.0%, threshold: 30.0%)"
575,Unknown / Insufficient Evidence,0.0,"Unknown / Insufficient Evidence
Supporting evidence:
- insufficient or conflicting physical & contextual evidence
- OSM industrial context is UNKNOWN
- land-cover context is UNKNOWN
- satellite observation unavailable/obscured",1,isolated,330.08,30.18,3.88,INSUFFICIENT_DATA,0.0,none,none,inf,not_found,UNKNOWN,False,UNKNOWN,,"Sentinel-2 observation available but obscured by cloud cover (best: 67.4%, threshold: 30.0%)"
